Label,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,VELOCITY,DISPLACEMENT,MANUAL_COLOR
(ID19833 : ID5600),0,19833,5600,0.762,0.500,104.728,149.826,18.538,0.873,0.873,None
(ID5600 : ID13847),0,5600,13847,1.166,1.500,103.835,149.954,18.368,1.080,1.080,None
(ID13847 : ID17265),0,13847,17265,2.827,2.500,104.172,150.066,18.362,1.681,1.681,None
(ID17265 : ID12033),0,17265,12033,0.141,3.500,104.974,150.222,18.734,0.375,0.375,None
(ID12033 : ID1570),0,12033,1570,1.081,4.500,105.233,150.578,18.461,1.040,1.040,None
(ID1570 : ID10241),0,1570,10241,0.473,5.500,105.344,150.752,18.372,0.688,0.688,None
(ID10241 : ID5626),0,10241,5626,2.001,6.500,104.534,150.482,18.586,1.415,1.415,None
(ID5626 : ID41487),0,5626,41487,1.024,7.500,104.069,149.787,18.514,1.012,1.012,None
(ID41487 : ID22626),0,41487,22626,2.216,8.500,103.788,148.962,18.979,1.489,1.489,None
(ID22626 : ID38912),0,22626,38912,0.543,9.500,103.134,148.663,19.104,0.737,0.737,None
(ID38912 : ID25263),0,38912,25263,1.312,10.500,102.834,149.255,18.954,1.145,1.145,None
(ID25263 : ID32783),0,25263,32783,0.570,11.500,102.744,149.894,19.482,0.755,0.755,None
(ID32783 : ID36324),0,32783,36324,1.062,12.500,102.940,150.052,19.357,1.031,1.031,None
(ID36324 : ID28081),0,36324,28081,0.015,13.500,103.108,150.054,18.903,0.121,0.121,None
(ID28081 : ID32346),0,28081,32346,3.716,14.500,104.030,149.862,19.203,1.928,1.928,None
(ID32346 : ID47471),0,32346,47471,9.592,15.500,104.703,148.193,19.562,3.097,3.097,None
(ID47471 : ID44391),0,47471,44391,0.067,16.500,104.566,146.590,19.662,0.259,0.259,None
(ID44391 : ID50458),0,44391,50458,0.295,17.500,104.871,146.695,19.661,0.543,0.543,None
(ID50458 : ID53504),0,50458,53504,0.104,18.500,105.143,147.021,19.637,0.323,0.323,None
(ID53504 : ID59379),0,53504,59379,3.599,19.500,105.573,146.628,18.931,1.897,1.897,None
(ID59379 : ID56024),0,59379,56024,13.637,20.500,105.734,146.014,16.404,3.693,3.693,None
(ID59379 : ID56274),0,59379,56274,1.638,20.500,105.873,145.728,17.714,1.280,1.280,None
(ID56024 : ID64904),0,56024,64904,0.473,21.500,105.606,145.624,14.692,0.688,0.688,None
(ID64904 : ID62266),0,64904,62266,5.730,22.500,105.790,145.095,15.986,2.394,2.394,None
(ID62266 : ID70673),0,62266,70673,2.788,23.500,106.315,145.154,16.487,1.670,1.670,None
(ID70673 : ID68000),0,70673,68000,3.292,24.500,106.514,146.026,16.465,1.814,1.814,None
(ID68000 : ID76542),0,68000,76542,15.049,25.500,106.772,147.946,18.451,3.879,3.879,None
(ID76542 : ID73797),0,76542,73797,2.011,26.500,107.488,148.965,19.197,1.418,1.418,None
(ID73797 : ID81720),0,73797,81720,5.561,27.500,106.907,148.715,17.766,2.358,2.358,None
(ID81720 : ID78911),0,81720,78911,2.819,28.500,105.470,148.880,16.361,1.679,1.679,None
(ID78911 : ID84011),0,78911,84011,1.989,29.500,104.958,149.121,15.110,1.410,1.410,None
(ID20342 : ID6874),1,20342,6874,1.905,0.500,33.286,192.051,26.683,1.380,1.380,None
(ID6874 : ID14337),1,6874,14337,0.101,1.500,32.655,192.054,26.720,0.318,0.318,None
(ID14337 : ID17850),1,14337,17850,1.364,2.500,33.116,192.261,26.852,1.168,1.168,None
(ID17850 : ID15482),1,17850,15482,0.447,3.500,33.633,192.725,27.378,0.669,0.669,None
(ID15482 : ID2144),1,15482,2144,1.074,4.500,34.157,193.123,27.544,1.036,1.036,None
(ID2144 : ID11268),1,2144,11268,0.520,5.500,34.341,193.225,27.212,0.721,0.721,None
(ID11268 : ID6748),1,11268,6748,1.848,6.500,33.633,192.572,26.946,1.359,1.359,None
(ID6748 : ID41963),1,6748,41963,2.113,7.500,33.542,191.504,26.630,1.454,1.454,None
(ID41963 : ID23143),1,41963,23143,1.665,8.500,34.081,190.391,26.671,1.290,1.290,None
(ID23143 : ID39559),1,23143,39559,0.227,9.500,34.127,189.810,27.172,0.476,0.476,None
(ID39559 : ID25657),1,39559,25657,5.433,10.500,33.156,190.371,26.837,2.331,2.331,None
(ID25657 : ID33790),1,25657,33790,1.415,11.500,32.658,191.344,26.605,1.190,1.190,None
(ID33790 : ID36844),1,33790,36844,0.308,12.500,33.014,191.939,27.076,0.555,0.555,None
(ID36844 : ID28579),1,36844,28579,0.068,13.500,32.994,192.143,27.120,0.262,0.262,None
(ID28579 : ID33386),1,28579,33386,3.601,14.500,33.885,192.338,26.889,1.898,1.898,None
(ID33386 : ID47920),1,33386,47920,9.125,15.500,36.089,192.138,26.106,3.021,3.021,None
(ID33386 : ID48055),1,33386,48055,12.174,15.500,33.430,193.529,27.223,3.489,3.489,None
(ID47920 : ID44721),1,47920,44721,5.191,16.500,38.454,191.673,25.067,2.278,2.278,None
(ID48055 : ID45035),1,48055,45035,2.266,16.500,32.276,195.205,27.846,1.505,1.505,None
(ID44721 : ID50770),1,44721,50770,1.738,17.500,38.951,191.358,24.541,1.319,1.319,None
(ID45035 : ID51087),1,45035,51087,1.611,17.500,31.882,196.041,27.958,1.269,1.269,None
(ID50770 : ID53827),1,50770,53827,2.292,18.500,38.810,190.506,24.548,1.514,1.514,None
(ID51087 : ID54130),1,51087,54130,4.400,18.500,32.088,195.558,27.689,2.098,2.098,None
(ID53827 : ID59778),1,53827,59778,7.020,19.500,39.532,188.667,24.381,2.650,2.650,None
(ID54130 : ID60100),1,54130,60100,1.267,19.500,32.822,195.479,27.608,1.126,1.126,None
(ID59778 : ID56731),1,59778,56731,13.791,20.500,39.688,185.623,23.581,3.714,3.714,None
(ID60100 : ID57049),1,60100,57049,3.297,20.500,32.263,196.797,27.676,1.816,1.816,None
(ID57049 : ID65930),1,57049,65930,23.449,21.500,33.173,199.515,27.209,4.842,4.842,None
(ID56731 : ID65765),1,56731,65765,23.527,21.500,37.364,183.951,24.139,4.850,4.850,None
(ID65930 : ID63056),1,65930,63056,8.900,22.500,33.140,201.504,27.258,2.983,2.983,None
(ID65765 : ID62725),1,65765,62725,2.898,22.500,35.260,183.378,24.675,1.702,1.702,None
(ID63056 : ID71557),1,63056,71557,0.416,23.500,31.898,201.525,27.998,0.645,0.645,None
(ID71557 : ID68588),1,71557,68588,10.587,24.500,33.331,201.115,27.315,3.254,3.254,None
(ID68588 : ID77008),1,68588,77008,2.820,25.500,34.715,201.505,26.063,1.679,1.679,None
(ID77008 : ID74245),1,77008,74245,22.898,26.500,35.493,199.978,25.749,4.785,4.785,None
(ID74245 : ID82278),1,74245,82278,2.427,27.500,35.794,198.372,25.731,1.558,1.558,None
(ID82278 : ID79566),1,82278,79566,1.051,28.500,35.413,199.565,25.616,1.025,1.025,None
(ID79566 : ID84831),1,79566,84831,1.499,29.500,35.183,200.528,25.156,1.225,1.225,None
(ID19835 : ID5608),3,19835,5608,0.554,0.500,51.428,156.552,17.125,0.744,0.744,None
(ID5608 : ID13849),3,5608,13849,0.636,1.500,50.803,156.993,17.070,0.798,0.798,None
(ID13849 : ID17268),3,13849,17268,1.214,2.500,50.904,157.389,17.354,1.102,1.102,None
(ID17268 : ID11813),3,17268,11813,0.400,3.500,51.539,157.585,17.881,0.632,0.632,None
(ID11813 : ID1571),3,11813,1571,1.542,4.500,52.342,157.732,18.118,1.242,1.242,None
(ID1571 : ID10249),3,1571,10249,1.567,5.500,52.397,157.717,17.851,1.252,1.252,None
(ID10249 : ID5634),3,10249,5634,0.459,6.500,51.554,157.397,17.587,0.678,0.678,None
(ID5634 : ID41488),3,5634,41488,1.224,7.500,51.693,156.954,17.369,1.106,1.106,None
(ID41488 : ID22515),3,41488,22515,1.480,8.500,51.839,156.337,17.567,1.217,1.217,None
(ID22515 : ID38914),3,22515,38914,2.907,9.500,50.713,155.934,17.841,1.705,1.705,None
(ID38914 : ID25172),3,38914,25172,1.431,10.500,49.426,156.243,17.554,1.196,1.196,None
(ID25172 : ID32582),3,25172,32582,1.563,11.500,49.132,157.193,17.575,1.250,1.250,None
(ID32582 : ID36228),3,32582,36228,0.677,12.500,49.540,157.967,18.005,0.823,0.823,None
(ID36228 : ID27977),3,36228,27977,0.495,13.500,49.933,158.330,17.989,0.703,0.703,None
(ID27977 : ID32147),3,27977,32147,1.625,14.500,50.676,158.666,17.599,1.275,1.275,None
(ID32147 : ID47229),3,32147,47229,13.855,15.500,53.072,158.472,17.132,3.722,3.722,None
(ID32147 : ID47352),3,32147,47352,6.629,15.500,50.061,158.558,17.792,2.575,2.575,None
(ID47229 : ID44145),3,47229,44145,3.355,16.500,55.630,158.034,16.284,1.832,1.832,None
(ID47352 : ID44266),3,47352,44266,2.181,16.500,48.450,158.901,18.197,1.477,1.477,None
(ID44266 : ID50343),3,44266,50343,19.303,17.500,48.398,157.418,17.755,4.393,4.393,None
(ID44145 : ID50219),3,44145,50219,50.315,17.500,56.813,161.468,16.051,7.093,7.093,None
(ID50219 : ID53396),3,50219,53396,12.265,18.500,55.655,164.910,17.076,3.502,3.502,None
(ID50343 : ID53392),3,50343,53392,3.045,18.500,49.222,154.590,17.225,1.745,1.745,None
(ID53396 : ID59262),3,53396,59262,5.287,19.500,54.005,163.901,17.179,2.299,2.299,None
(ID59262 : ID56169),3,59262,56169,0.417,20.500,53.652,162.866,16.388,0.646,0.646,None
(ID56169 : ID65186),3,56169,65186,0.498,21.500,53.367,162.950,16.560,0.706,0.706,None
(ID65186 : ID62280),3,65186,62280,30.330,22.500,51.015,164.232,17.796,5.507,5.507,None
(ID62280 : ID70956),3,62280,70956,0.800,23.500,48.743,165.620,19.065,0.894,0.894,None
(ID19836 : ID5610),5,19836,5610,1.219,0.500,101.134,159.250,18.231,1.104,1.104,None
(ID5610 : ID13850),5,5610,13850,1.289,1.500,100.168,159.614,17.997,1.135,1.135,None
(ID13850 : ID17269),5,13850,17269,2.915,2.500,100.517,159.813,18.015,1.707,1.707,None
(ID17269 : ID11817),5,17269,11817,0.264,3.500,101.191,160.033,18.404,0.513,0.513,None
(ID11817 : ID1573),5,11817,1573,0.437,4.500,101.264,160.247,18.214,0.661,0.661,None
(ID1573 : ID10251),5,1573,10251,0.263,5.500,101.333,160.277,18.168,0.513,0.513,None
(ID10251 : ID5636),5,10251,5636,2.159,6.500,100.550,160.121,18.122,1.470,1.470,None
(ID5636 : ID41491),5,5636,41491,1.122,7.500,100.203,159.550,17.667,1.059,1.059,None
(ID41491 : ID22516),5,41491,22516,2.620,8.500,100.118,158.711,18.019,1.619,1.619,None
(ID22516 : ID38915),5,22516,38915,0.585,9.500,99.483,158.196,18.267,0.765,0.765,None
(ID38915 : ID25173),5,38915,25173,0.693,10.500,99.079,158.494,17.842,0.832,0.832,None
(ID25173 : ID32791),5,25173,32791,3.495,11.500,99.187,159.216,18.528,1.869,1.869,None
(ID32791 : ID36326),5,32791,36326,0.321,12.500,99.628,159.539,19.120,0.566,0.566,None
(ID36326 : ID28084),5,36326,28084,0.573,13.500,99.435,159.430,18.990,0.757,0.757,None
(ID28084 : ID32359),5,28084,32359,5.396,14.500,100.189,159.692,19.068,2.323,2.323,None
(ID32359 : ID47354),5,32359,47354,15.211,15.500,100.047,161.395,18.462,3.900,3.900,None
(ID32359 : ID47476),5,32359,47476,4.651,15.500,102.085,159.428,19.494,2.157,2.157,None
(ID47476 : ID50459),5,47476,50459,8.788,17.000,103.873,157.752,19.799,1.482,2.965,None
(ID47354 : ID44267),5,47354,44267,5.432,16.500,97.994,163.612,17.815,2.331,2.331,None
(ID44267 : ID50347),5,44267,50347,1.246,17.500,96.701,164.309,17.548,1.116,1.116,None
(ID50347 : ID53397),5,50347,53397,0.811,18.500,96.597,164.330,17.190,0.901,0.901,None
(ID50459 : ID53506),5,50459,53506,1.836,18.500,105.289,156.141,19.567,1.355,1.355,None
(ID53506 : ID59499),5,53506,59499,6.378,19.500,105.921,156.810,19.796,2.525,2.525,None
(ID53397 : ID59264),5,53397,59264,4.636,19.500,97.256,163.588,16.542,2.153,2.153,None
(ID59499 : ID56279),5,59499,56279,9.071,20.500,105.412,157.174,19.103,3.012,3.012,None
(ID59499 : ID56413),5,59499,56413,5.536,20.500,107.116,157.359,20.002,2.353,2.353,None
(ID59264 : ID56032),5,59264,56032,9.001,20.500,97.321,161.426,15.234,3.000,3.000,None
(ID56413 : ID65310),5,56413,65310,2.499,21.500,108.341,155.961,19.836,1.581,1.581,None
(ID56032 : ID64912),5,56032,64912,2.963,21.500,97.128,159.325,14.546,1.721,1.721,None
(ID56279 : ID65184),5,56279,65184,14.214,21.500,104.213,158.165,18.058,3.770,3.770,None
(ID64912 : ID62136),5,64912,62136,0.344,22.500,97.318,158.441,14.894,0.586,0.586,None
(ID65310 : ID62570),5,65310,62570,2.008,22.500,108.939,154.934,20.339,1.417,1.417,None
(ID65184 : ID62278),5,65184,62278,0.927,22.500,103.994,159.786,18.388,0.963,0.963,None
(ID62570 : ID71097),5,62570,71097,1.320,23.500,109.586,154.998,21.239,1.149,1.149,None
(ID62136 : ID70679),5,62136,70679,0.593,23.500,97.756,158.677,15.222,0.770,0.770,None
(ID62278 : ID70953),5,62278,70953,1.698,23.500,104.714,160.017,18.855,1.303,1.303,None
(ID70953 : ID68008),5,70953,68008,3.369,24.500,104.986,161.335,18.808,1.835,1.835,None
(ID70679 : ID67882),5,70679,67882,0.372,24.500,97.900,159.223,15.378,0.610,0.610,None
(ID71097 : ID68252),5,71097,68252,2.441,24.500,110.138,156.082,21.562,1.562,1.562,None
(ID68252 : ID76684),5,68252,76684,0.989,25.500,110.200,157.258,21.684,0.995,0.995,None
(ID68008 : ID76551),5,68008,76551,1.395,25.500,104.996,162.493,19.130,1.181,1.181,None
(ID67882 : ID76309),5,67882,76309,1.376,25.500,97.734,160.084,15.400,1.173,1.173,None
(ID76684 : ID74078),5,76684,74078,2.202,26.500,110.218,158.006,22.471,1.484,1.484,None
(ID76551 : ID73804),5,76551,73804,1.327,26.500,105.544,163.234,19.577,1.152,1.152,None
(ID76309 : ID73591),5,76309,73591,2.633,26.500,98.273,161.119,15.691,1.623,1.623,None
(ID73804 : ID81729),5,73804,81729,3.436,27.500,105.316,164.331,19.175,1.854,1.854,None
(ID74078 : ID81967),5,74078,81967,4.464,27.500,109.835,158.664,22.307,2.113,2.113,None
(ID73591 : ID81609),5,73591,81609,1.209,27.500,98.631,162.031,15.827,1.099,1.099,None
(ID81729 : ID79043),5,81729,79043,0.318,28.500,104.888,165.202,18.744,0.564,0.564,None
(ID81967 : ID79166),5,81967,79166,0.690,28.500,109.363,159.196,21.149,0.831,0.831,None
(ID81609 : ID78917),5,81609,78917,0.982,28.500,98.043,162.819,15.529,0.991,0.991,None
(ID79043 : ID84264),5,79043,84264,0.668,29.500,104.919,165.820,18.584,0.817,0.817,None
(ID78917 : ID84017),5,78917,84017,0.578,29.500,97.828,163.338,15.121,0.760,0.760,None
(ID79166 : ID84519),5,79166,84519,0.864,29.500,109.856,159.476,21.053,0.929,0.929,None
(ID19837 : ID5612),6,19837,5612,0.610,0.500,49.964,163.314,18.164,0.781,0.781,None
(ID5612 : ID13854),6,5612,13854,0.780,1.500,49.240,163.690,18.097,0.883,0.883,None
(ID13854 : ID17271),6,13854,17271,0.853,2.500,49.270,163.889,18.146,0.924,0.924,None
(ID17271 : ID12042),6,17271,12042,0.593,3.500,49.868,164.108,18.553,0.770,0.770,None
(ID12042 : ID1576),6,12042,1576,2.061,4.500,50.620,164.566,18.629,1.435,1.435,None
(ID1576 : ID10255),6,1576,10255,1.500,5.500,50.706,164.721,18.090,1.225,1.225,None
(ID10255 : ID5642),6,10255,5642,0.182,6.500,50.061,164.544,17.965,0.427,0.427,None
(ID5642 : ID41493),6,5642,41493,1.056,7.500,50.131,164.053,18.235,1.028,1.028,None
(ID41493 : ID22632),6,41493,22632,0.593,8.500,50.294,163.307,18.596,0.770,0.770,None
(ID22632 : ID38916),6,22632,38916,2.849,9.500,49.532,163.081,18.430,1.688,1.688,None
(ID38916 : ID25176),6,38916,25176,1.334,10.500,48.330,163.383,17.788,1.155,1.155,None
(ID25176 : ID32584),6,25176,32584,0.352,11.500,47.804,163.895,17.691,0.593,0.593,None
(ID32584 : ID36231),6,32584,36231,0.411,12.500,47.971,164.226,18.038,0.641,0.641,None
(ID36231 : ID27978),6,36231,27978,0.792,13.500,48.397,164.010,17.987,0.890,0.890,None
(ID27978 : ID32149),6,27978,32149,1.697,14.500,49.198,163.485,17.816,1.303,1.303,None
(ID32149 : ID47479),6,32149,47479,10.665,15.500,48.378,163.046,18.713,3.266,3.266,None
(ID47479 : ID44402),6,47479,44402,1.286,16.500,46.580,163.271,19.495,1.134,1.134,None
(ID44402 : ID50465),6,44402,50465,5.497,17.500,45.327,162.916,19.636,2.345,2.345,None
(ID50465 : ID53507),6,50465,53507,2.140,18.500,45.111,161.814,19.815,1.463,1.463,None
(ID53507 : ID59501),6,53507,59501,8.204,19.500,46.691,160.401,19.708,2.864,2.864,None
(ID59501 : ID56280),6,59501,56280,8.257,20.500,47.729,158.179,18.706,2.873,2.873,None
(ID59501 : ID56415),6,59501,56415,3.706,20.500,46.949,159.999,19.697,1.925,1.925,None
(ID56415 : ID65312),6,56415,65312,19.699,21.500,46.911,158.568,19.567,4.438,4.438,None
(ID56280 : ID65177),6,56280,65177,23.994,21.500,48.228,154.622,17.873,4.898,4.898,None
(ID65312 : ID62417),6,65312,62417,8.950,22.500,46.911,157.788,19.567,2.992,2.992,None
(ID65177 : ID62274),6,65177,62274,0.615,22.500,48.539,152.587,17.945,0.784,0.784,None
(ID62417 : ID70952),6,62417,70952,0.995,23.500,46.760,159.196,19.709,0.997,0.997,None
(ID62274 : ID68002),6,62274,68002,4.902,24.000,48.671,151.885,17.910,1.107,2.214,None
(ID70952 : ID68124),6,70952,68124,3.029,24.500,46.500,159.716,19.709,1.740,1.740,None
(ID68002 : ID76431),6,68002,76431,33.727,25.500,47.833,153.504,17.999,5.808,5.808,None
(ID68124 : ID76550),6,68124,76550,9.981,25.500,44.699,161.330,19.852,3.159,3.159,None
(ID76431 : ID73802),6,76431,73802,1.989,26.500,46.949,156.770,18.552,1.410,1.410,None
(ID76431 : ID73702),6,76431,73702,23.530,26.500,48.289,154.325,17.877,4.851,4.851,None
(ID76550 : ID73950),6,76550,73950,16.768,26.500,43.006,164.248,20.741,4.095,4.095,None
(ID73702 : ID81722),6,73702,81722,1.832,27.500,49.591,153.082,17.497,1.354,1.354,None
(ID73950 : ID81970),6,73950,81970,1.849,27.500,41.894,166.478,21.600,1.360,1.360,None
(ID73802 : ID81608),6,73802,81608,49.748,27.500,50.335,157.952,17.652,7.053,7.053,None
(ID81608 : ID78915),6,81608,78915,2.119,28.500,52.965,158.980,16.254,1.456,1.456,None
(ID81722 : ID79034),6,81722,79034,1.433,28.500,49.049,154.199,17.283,1.197,1.197,None
(ID81970 : ID79295),6,81970,79295,5.869,28.500,40.207,166.940,21.702,2.423,2.423,None
(ID79034 : ID84132),6,79034,84132,1.125,29.500,48.922,154.400,16.767,1.061,1.061,None
(ID79295 : ID84392),6,79295,84392,9.769,29.500,40.079,167.675,20.960,3.126,3.126,None
(ID78915 : ID84134),6,78915,84134,0.873,29.500,52.616,159.379,15.748,0.934,0.934,None
(ID20479 : ID6893),7,20479,6893,1.768,0.500,36.581,207.708,26.932,1.329,1.329,None
(ID6893 : ID14343),7,6893,14343,0.467,1.500,35.771,208.150,26.748,0.683,0.683,None
(ID14343 : ID17857),7,14343,17857,1.440,2.500,36.018,208.516,27.096,1.200,1.200,None
(ID17857 : ID15497),7,17857,15497,0.994,3.500,36.628,208.994,27.747,0.997,0.997,None
(ID15497 : ID2153),7,15497,2153,0.991,4.500,37.279,209.526,27.845,0.995,0.995,None
(ID2153 : ID11282),7,2153,11282,0.346,5.500,37.661,209.758,27.446,0.588,0.588,None
(ID11282 : ID6769),7,11282,6769,1.467,6.500,37.191,209.395,27.182,1.211,1.211,None
(ID6769 : ID41969),7,6769,41969,2.702,7.500,37.221,208.331,26.815,1.644,1.644,None
(ID41969 : ID23024),7,41969,23024,1.077,8.500,37.728,207.229,26.551,1.038,1.038,None
(ID23024 : ID39565),7,23024,39565,0.344,9.500,37.741,206.665,26.934,0.587,0.587,None
(ID39565 : ID25799),7,39565,25799,3.618,10.500,36.916,207.161,27.050,1.902,1.902,None
(ID25799 : ID33808),7,25799,33808,0.872,11.500,36.368,208.073,27.114,0.934,0.934,None
(ID33808 : ID36856),7,33808,36856,1.083,12.500,36.400,208.745,27.714,1.041,1.041,None
(ID36856 : ID28592),7,36856,28592,0.207,13.500,36.054,209.004,27.953,0.455,0.455,None
(ID28592 : ID33406),7,28592,33406,3.945,14.500,36.865,208.915,27.939,1.986,1.986,None
(ID33406 : ID48067),7,33406,48067,1.690,15.500,37.269,209.063,28.289,1.300,1.300,None
(ID48067 : ID45212),7,48067,45212,6.449,16.500,35.645,209.613,29.139,2.540,2.540,None
(ID48067 : ID45046),7,48067,45046,10.663,16.500,38.190,209.299,27.879,3.265,3.265,None
(ID45212 : ID51248),7,45212,51248,7.231,17.500,33.285,210.128,29.987,2.689,2.689,None
(ID45046 : ID51094),7,45046,51094,3.099,17.500,39.349,208.550,27.143,1.760,1.760,None
(ID51248 : ID54302),7,51248,54302,4.966,18.500,32.872,209.622,30.198,2.229,2.229,None
(ID51094 : ID53989),7,51094,53989,4.795,18.500,39.925,207.681,26.452,2.190,2.190,None
(ID54302 : ID60267),7,54302,60267,9.120,19.500,34.569,207.706,29.956,3.020,3.020,None
(ID54302 : ID60268),7,54302,60268,1.978,19.500,33.080,208.933,30.268,1.407,1.407,None
(ID53989 : ID59790),7,53989,59790,10.192,19.500,41.531,206.332,25.207,3.192,3.192,None
(ID59790 : ID56599),7,59790,56599,22.036,20.500,44.088,204.685,23.183,4.694,4.694,None
(ID60267 : ID57056),7,60267,57056,7.560,20.500,34.435,205.785,28.952,2.749,2.749,None
(ID60268 : ID57217),7,60268,57217,5.694,20.500,31.380,208.249,30.388,2.386,2.386,None
(ID57217 : ID66095),7,57217,66095,4.319,21.500,29.423,207.989,30.279,2.078,2.078,None
(ID56599 : ID65622),7,56599,65622,15.689,21.500,44.175,203.918,22.570,3.961,3.961,None
(ID57056 : ID66094),7,57056,66094,7.972,21.500,32.267,204.685,28.672,2.823,2.823,None
(ID66095 : ID63388),7,66095,63388,32.677,22.500,26.512,209.606,31.817,5.716,5.716,None
(ID65622 : ID62591),7,65622,62591,4.740,22.500,42.637,202.554,22.875,2.177,2.177,None
(ID66094 : ID63220),7,66094,63220,9.526,22.500,29.991,205.369,29.369,3.086,3.086,None
(ID63388 : ID71895),7,63388,71895,0.664,23.500,24.772,210.730,33.827,0.815,0.815,None
(ID63220 : ID71714),7,63220,71714,1.129,23.500,29.320,206.186,29.798,1.063,1.063,None
(ID62591 : ID71269),7,62591,71269,24.939,23.500,43.367,203.988,22.950,4.994,4.994,None
(ID71895 : ID68910),7,71895,68910,51.095,24.500,27.839,211.423,32.154,7.148,7.148,None
(ID71714 : ID68906),7,71714,68906,7.090,24.500,30.123,204.742,29.484,2.663,2.663,None
(ID71269 : ID68427),7,71269,68427,3.964,24.500,43.234,207.153,23.590,1.991,1.991,None
(ID68427 : ID76868),7,68427,76868,3.279,25.500,42.104,207.182,23.698,1.811,1.811,None
(ID68910 : ID77440),7,68910,77440,15.295,25.500,29.185,211.026,30.508,3.911,3.911,None
(ID68906 : ID77320),7,68906,77320,3.556,25.500,30.263,204.503,28.936,1.886,1.886,None
(ID77440 : ID74678),7,77440,74678,4.693,26.500,28.002,210.786,31.258,2.166,2.166,None
(ID76868 : ID74101),7,76868,74101,1.808,26.500,41.451,206.982,24.062,1.345,1.345,None
(ID77320 : ID74558),7,77320,74558,3.796,26.500,30.199,206.246,29.346,1.948,1.948,None
(ID74101 : ID82138),7,74101,82138,2.037,27.500,40.888,208.091,24.534,1.427,1.427,None
(ID74558 : ID82576),7,74558,82576,1.131,27.500,30.287,207.605,29.745,1.063,1.063,None
(ID74678 : ID82709),7,74678,82709,4.454,27.500,27.950,212.726,31.712,2.110,2.110,None
(ID82576 : ID79861),7,82576,79861,3.349,28.500,29.657,208.894,29.754,1.830,1.830,None
(ID82138 : ID79437),7,82138,79437,1.153,28.500,40.538,209.100,24.348,1.074,1.074,None
(ID82709 : ID79982),7,82709,79982,3.093,28.500,27.126,214.466,31.760,1.759,1.759,None
(ID79861 : ID85141),7,79861,85141,1.211,29.500,29.318,210.191,29.659,1.100,1.100,None
(ID79982 : ID85274),7,79982,85274,24.695,29.500,27.806,217.381,31.263,4.969,4.969,None
(ID79437 : ID84692),7,79437,84692,0.985,29.500,40.295,209.907,23.940,0.993,0.993,None
(ID19842 : ID5627),10,19842,5627,0.540,0.500,54.653,181.042,17.086,0.735,0.735,None
(ID5627 : ID13857),10,5627,13857,0.788,1.500,53.888,181.123,17.263,0.888,0.888,None
(ID13857 : ID17274),10,13857,17274,0.640,2.500,53.764,181.300,17.710,0.800,0.800,None
(ID17274 : ID11823),10,17274,11823,0.534,3.500,54.346,181.449,18.170,0.731,0.731,None
(ID11823 : ID1581),10,11823,1581,1.780,4.500,55.292,181.615,18.244,1.334,1.334,None
(ID1581 : ID10269),10,1581,10269,0.969,5.500,55.507,181.843,17.886,0.985,0.985,None
(ID10269 : ID5659),10,10269,5659,1.107,6.500,54.795,181.489,17.659,1.052,1.052,None
(ID5659 : ID41497),10,5659,41497,2.727,7.500,54.875,180.315,17.581,1.651,1.651,None
(ID41497 : ID22520),10,41497,22520,1.217,8.500,55.335,179.417,18.015,1.103,1.103,None
(ID22520 : ID38924),10,22520,38924,1.188,9.500,54.884,179.196,18.529,1.090,1.090,None
(ID38924 : ID25180),10,38924,25180,1.703,10.500,53.904,179.487,18.188,1.305,1.305,None
(ID25180 : ID32592),10,25180,32592,0.546,11.500,53.518,180.169,18.001,0.739,0.739,None
(ID32592 : ID36335),10,32592,36335,0.902,12.500,53.607,180.775,18.538,0.950,0.950,None
(ID36335 : ID27983),10,36335,27983,0.673,13.500,53.668,180.890,18.547,0.820,0.820,None
(ID27983 : ID32161),10,27983,32161,1.414,14.500,54.230,180.984,18.153,1.189,1.189,None
(ID32161 : ID47363),10,32161,47363,9.557,15.500,55.375,179.818,17.993,3.091,3.091,None
(ID32161 : ID47493),10,32161,47493,13.829,15.500,53.867,182.762,18.691,3.719,3.719,None
(ID47363 : ID44275),10,47363,44275,1.979,16.500,56.668,178.321,17.727,1.407,1.407,None
(ID47493 : ID44420),10,47493,44420,2.747,16.500,52.745,185.077,19.386,1.657,1.657,None
(ID44275 : ID50354),10,44275,50354,2.226,17.500,56.685,178.448,17.354,1.492,1.492,None
(ID44420 : ID50480),10,44420,50480,2.170,17.500,51.794,185.951,19.543,1.473,1.473,None
(ID50354 : ID53271),10,50354,53271,2.364,18.500,56.626,178.246,16.880,1.537,1.537,None
(ID50480 : ID53519),10,50480,53519,4.769,18.500,51.810,185.271,19.345,2.184,2.184,None
(ID53271 : ID59271),10,53271,59271,13.199,19.500,59.023,177.635,16.396,3.633,3.633,None
(ID53519 : ID59520),10,53519,59520,8.870,19.500,51.370,185.394,19.259,2.978,2.978,None
(ID59520 : ID56297),10,59520,56297,10.717,20.500,50.377,184.768,18.800,3.274,3.274,None
(ID59271 : ID56174),10,59271,56174,8.642,20.500,60.964,176.000,15.852,2.940,2.940,None
(ID56297 : ID65198),10,56297,65198,4.390,21.500,50.152,184.172,18.490,2.095,2.095,None
